1545338491.081781376, user press, u
1545338492.320515525, 0, v
1545338494.625363599, user press, v
1545338570.117401488, face tracking, on
1545338572.119915580, reeti turn to, 0
1545338572.119943744, 0, u
1545338574.691767251, user press, u
1545338576.720318326, face tracking, on
1545338578.722995936, reeti turn to, 0
1545338578.723024874, 0, u
1545338581.046962437, user press, u
1545338583.068903190, face tracking, on
1545338585.071462668, reeti turn to, 1
1545338585.071487391, 0, u
1545338587.440689004, user press, u
1545338597.602808056, face tracking, on
1545338599.605487494, reeti turn to, 1
1545338599.605533411, 1, v
1545338602.174782671, user press, v
1545338666.297881406, face tracking, on
1545338668.300858511, reeti turn to, 1
1545338668.300905257, 1, v
1545338670.829778917, user press, v
1545338677.617216021, face tracking, on
1545338679.620143328, reeti turn to, 1
1545338679.620187673, 1, u
1545338682.238586733, user press, u
1545338684.163109661, face tracking, on
1545338686.165379917, reeti turn to, 0
1545338686.165409796, 0, v
1545338688.393312604, user press, v
1545338690.418138381, face tracking, on
1545338692.420777261, reeti turn to, 0
1545338692.420814708, 1, v
1545338694.753708241, user press, v
1545338696.622965254, face tracking, on
1545338698.625749377, reeti turn to, 1
1545338698.625784036, 1, v
1545338701.000447364, user press, v
1545338702.823410362, face tracking, on
1545338704.825967172, reeti turn to, 1
1545338704.825994534, 0, u
1545338707.824225549, user press, u
1545338709.809274053, face tracking, on
1545338711.812098628, reeti turn to, 0
1545338711.812132237, 0, u
1545338714.186210067, user press, u
1545338716.581638345, face tracking, on
1545338718.585062764, reeti turn to, 1
1545338718.585096716, 0, u
1545338720.864826194, user press, u
1545338723.705829546, face tracking, on
1545338725.708134806, reeti turn to, 1
1545338725.708166453, 1, u
1545338727.962301997, user press, u
1545338729.865540804, face tracking, on
1545338731.868163122, reeti turn to, 0
1545338731.868204212, 1, u
1545338734.208161834, user press, u
1545338799.121144591, face tracking, on
1545338801.123521026, reeti turn to, 1
1545338801.123552764, 1, v
1545338803.654241555, user press, v
1545338805.258126686, face tracking, on
1545338807.260984253, reeti turn to, 0
1545338807.261011751, 0, v
1545338809.574634776, user press, v
1545338811.673416912, face tracking, on
1545338813.676087697, reeti turn to, 0
1545338813.676120737, 0, v
1545338816.037720159, user press, v
1545338817.370997729, face tracking, on
1545338819.373731128, reeti turn to, 1
1545338819.373775839, 0, v
1545338821.560550254, user press, v
1545338823.263345771, face tracking, on
1545338825.265868149, reeti turn to, 0
1545338825.265900832, 1, v
1545338827.649618134, user press, v
1545338829.318441063, face tracking, on
1545338831.320941853, reeti turn to, 1
1545338831.320973801, 0, v
1545338833.622878583, user press, v
1545338835.451645993, face tracking, on
1545338837.454625627, reeti turn to, 0
1545338837.454666456, 0, v
1545338839.806445905, user press, v
1545338841.458969702, face tracking, on
1545338843.461813315, reeti turn to, 0
1545338843.461848938, 1, u
1545338845.806911570, user press, u
1545338847.478348553, face tracking, on
1545338849.481087840, reeti turn to, 0
1545338849.481121294, 0, u
1545338851.849328572, user press, u
1545338853.582527766, face tracking, on
1545338855.585455625, reeti turn to, 1
1545338855.585500389, 1, u
1545338857.859902314, user press, u
1545338859.283616925, face tracking, on
1545338861.286362538, reeti turn to, 1
1545338861.286387399, 0, u
1545338863.538329001, user press, u
1545338923.709166020, face tracking, off
1545338925.711757883, reeti turn to, 0
1545338925.711791547, 0, u
1545338928.191271268, user press, u
1545338929.840430102, face tracking, off
1545338931.843331321, reeti turn to, 0
1545338931.843360757, 1, v
1545338933.971681946, user press, v
1545338936.015631279, face tracking, off
1545338938.018136583, reeti turn to, 0
1545338938.018166987, 0, v
1545338940.146581008, user press, v
1545338942.326458763, face tracking, off
1545338944.329463152, reeti turn to, 1
1545338944.329493974, 1, v
1545338946.502357567, user press, v
1545338948.932215226, face tracking, off
1545338950.934606518, reeti turn to, 0
1545338950.934674797, 0, v
1545338953.103573650, user press, v
1545338955.126128951, face tracking, off
1545338957.128618390, reeti turn to, 0
1545338957.128650150, 0, v
1545338959.331194926, user press, v
1545338961.458752920, face tracking, off
1545338963.461347661, reeti turn to, 0
1545338963.461394365, 1, v
1545338965.495371365, user press, v
1545338967.143682337, face tracking, off
1545338969.146130493, reeti turn to, 0
1545338969.146178374, 1, v
1545338971.363300405, user press, v
1545338972.950837359, face tracking, off
1545338974.953549056, reeti turn to, 0
1545338974.953584131, 0, v
1545338977.143987592, user press, v
1545338978.816642128, face tracking, off
1545338980.819210499, reeti turn to, 1
1545338980.819242097, 1, u
1545338983.049428610, user press, u
1545338984.740276314, face tracking, off
1545338986.742757042, reeti turn to, 1
1545338986.742782918, 0, v
1545338988.959354802, user press, v
1545339032.118763048, face tracking, off
1545339034.126596586, reeti turn to, 1
1545339034.126637297, 1, u
1545339036.553158554, user press, u
1545339038.508107869, face tracking, off
1545339040.510765450, reeti turn to, 0
1545339040.510805609, 0, u
1545339042.633874090, user press, u
1545339044.736077596, face tracking, off
1545339046.738798294, reeti turn to, 0
1545339046.738834917, 1, v
1545339049.122824368, user press, v
1545339050.703477737, face tracking, off
1545339052.706005456, reeti turn to, 1
1545339052.706035817, 0, u
1545339054.783118631, user press, u
1545339056.416048310, face tracking, off
1545339058.418319450, reeti turn to, 0
1545339058.418355296, 1, u
1545339060.656395260, user press, u
1545339062.173870647, face tracking, off
1545339064.176488250, reeti turn to, 0
1545339064.176519855, 1, u
1545339066.385454584, user press, u
1545339067.993551984, face tracking, off
1545339069.996070032, reeti turn to, 0
1545339069.996103654, 0, u
1545339072.159707720, user press, u
1545339073.913898830, face tracking, off
1545339075.916425314, reeti turn to, 1
1545339075.916452975, 1, u
1545339077.931201195, user press, u
1545339080.054945634, face tracking, off
1545339082.058128985, reeti turn to, 1
1545339082.058170226, 0, u
1545339084.164093068, user press, u
1545339085.786718515, face tracking, off
1545339087.789385611, reeti turn to, 0
1545339087.789421392, 1, u
1545339089.983337356, user press, u
1545339118.202066633, face tracking, off
1545339120.204777619, reeti turn to, 0
1545339120.204808438, 0, u
1545339122.420078791, user press, u
1545339123.710236774, face tracking, off
1545339125.713287372, reeti turn to, 1
1545339125.713317549, 1, u
1545339127.759432551, user press, u
1545339129.217625172, face tracking, off
1545339131.220752879, reeti turn to, 1
1545339131.220813724, 1, u
1545339133.284738141, user press, u
1545339134.812266637, face tracking, off
1545339136.814944047, reeti turn to, 0
1545339136.814975658, 0, v
1545339138.931880629, user press, v
1545339140.453834361, face tracking, off
1545339142.456695361, reeti turn to, 1
1545339142.456805758, 0, v
1545339144.586846442, user press, v
1545339145.862805379, face tracking, off
1545339147.865514559, reeti turn to, 0
1545339147.865551335, 0, u
1545339149.930502232, user press, u
1545339151.357279819, face tracking, off
1545339153.360136384, reeti turn to, 0
1545339153.360223401, 1, u
1545339155.391413182, user press, u
1545339156.639828421, face tracking, off
1545339158.642564445, reeti turn to, 1
1545339158.642601933, 1, u
1545339160.735909029, user press, u
1545339162.093423311, face tracking, off
1545339164.095743288, reeti turn to, 0
1545339164.095779539, 1, v
1545339166.169074076, user press, v
1545339167.636603385, face tracking, off
1545339169.639690022, reeti turn to, 1
1545339169.639730834, 0, u
1545339171.806150891, user press, u
1545339197.933076536, face tracking, on
1545339199.936263771, reeti turn to, 0
1545339199.936296482, 0, u
1545339202.033068779, user press, u
1545339203.824556755, face tracking, on
1545339205.827229819, reeti turn to, 0
1545339205.827279083, 0, v
1545339207.947656010, user press, v
1545339209.920001491, face tracking, on
1545339211.922562104, reeti turn to, 0
1545339211.922586956, 1, u
1545339213.959795159, user press, u
1545339215.870669459, face tracking, on
1545339217.873381669, reeti turn to, 0
1545339217.873408311, 0, u
1545339219.976782226, user press, u
1545339221.367005400, face tracking, on
1545339223.369731319, reeti turn to, 1
1545339223.369762047, 1, v
1545339225.340060817, user press, v
1545339227.045336187, face tracking, on
1545339229.048272736, reeti turn to, 1
1545339229.048309507, 0, v
1545339231.213824659, user press, v
1545339232.747736217, face tracking, on
1545339234.750712278, reeti turn to, 1
1545339234.750750324, 1, u
1545339236.812970278, user press, u
1545339238.730708512, face tracking, on
1545339240.734269490, reeti turn to, 0
1545339240.734304175, 1, v
1545339242.847572984, user press, v
1545339244.107686519, face tracking, on
1545339246.110517133, reeti turn to, 0
1545339246.110547218, 0, v
1545339248.169322754, user press, v
1545339249.701516218, face tracking, on
1545339251.704238926, reeti turn to, 0
1545339251.704268626, 0, v
1545339253.788342912, user press, v
1545339255.297943473, face tracking, on
1545339257.300581281, reeti turn to, 0
1545339257.300619080, 0, u
1545339259.416434621, user press, u
1545339290.625872343, face tracking, on
1545339292.628471687, reeti turn to, 0
1545339292.628503075, 0, u
1545339294.822337547, user press, u
1545339296.304910840, face tracking, on
1545339298.307333736, reeti turn to, 0
1545339298.307363778, 1, u
1545339300.408550135, user press, u
1545339301.751249463, face tracking, on
1545339303.754225554, reeti turn to, 1
1545339303.754253083, 1, v
1545339305.811172185, user press, v
1545339307.334570321, face tracking, on
1545339309.337129176, reeti turn to, 0
1545339309.337164456, 1, u
1545339311.373853691, user press, u
1545339313.034036553, face tracking, on
1545339315.036317657, reeti turn to, 1
1545339315.036357557, 0, u
1545339317.025604589, user press, u
1545339318.641825136, face tracking, on
1545339320.644427513, reeti turn to, 0
1545339320.644463385, 0, u
1545339322.573690812, user press, u
1545339323.884128817, face tracking, on
1545339325.886891436, reeti turn to, 0
1545339325.886937904, 1, v
1545339327.842141565, user press, v
1545339329.723908462, face tracking, on
1545339331.726294802, reeti turn to, 1
1545339331.726324923, 0, v
1545339333.802184844, user press, v
1545339335.082130948, face tracking, on
1545339337.084910317, reeti turn to, 1
1545339337.084947211, 0, u
1545339339.063403587, user press, u
1545339340.542364948, face tracking, on
1545339342.545312396, reeti turn to, 0
1545339342.545368864, 1, v
1545339344.535746661, user press, v
1545339345.780685122, face tracking, on
1545339347.783319371, reeti turn to, 0
1545339347.783357152, 0, u
1545339349.779222588, user press, u
1545339375.141928636, face tracking, on
1545339377.144532328, reeti turn to, 1
1545339377.144577537, 1, u
1545339379.290554720, user press, u
1545339381.175740008, face tracking, on
1545339383.178598082, reeti turn to, 1
1545339383.178630778, 1, u
1545339385.327206084, user press, u
1545339387.098660413, face tracking, on
1545339389.101516276, reeti turn to, 1
1545339389.101567916, 0, u
1545339391.049726278, user press, u
1545339392.910276438, face tracking, on
1545339394.913353934, reeti turn to, 0
1545339394.913388799, 0, u
1545339396.821900213, user press, u
1545339398.966403875, face tracking, on
1545339400.968764114, reeti turn to, 1
1545339400.968796706, 0, v
1545339403.049280605, user press, v
1545339404.620312443, face tracking, on
1545339406.622714771, reeti turn to, 0
1545339406.622748374, 1, v
1545339408.629095665, user press, v
1545339410.420377000, face tracking, on
1545339412.423023104, reeti turn to, 0
1545339412.423063061, 1, v
1545339414.433004746, user press, v
1545339416.152402175, face tracking, on
1545339418.156397186, reeti turn to, 0
1545339418.156441147, 0, v
1545339420.284944915, user press, v
1545339421.689132641, face tracking, on
1545339423.691667424, reeti turn to, 1
1545339423.691699545, 1, v
1545339425.820085150, user press, v
1545339427.577295258, face tracking, on
1545339429.579664956, reeti turn to, 1
1545339429.579698368, 0, u
1545339431.653377362, user press, u
1545339580.463893568, face tracking, off
1545339582.466177055, reeti turn to, 0
1545339582.466203035, 1, u
1545339584.757151495, user press, u
1545339586.377251941, face tracking, off
1545339588.380057137, reeti turn to, 1
1545339588.380092473, 0, u
1545339590.489888739, user press, u
1545339592.366862049, face tracking, off
1545339594.369652601, reeti turn to, 1
1545339594.369696249, 0, u
1545339596.326903620, user press, u
1545339598.189429834, face tracking, off
1545339600.192631037, reeti turn to, 1
1545339600.192674973, 1, u
1545339602.367498659, user press, u
1545339604.503054388, face tracking, off
1545339606.505649459, reeti turn to, 1
1545339606.505680239, 1, u
1545339608.567471645, user press, u
1545339610.589845140, face tracking, off
1545339612.593977116, reeti turn to, 1
1545339612.594129485, 0, u
1545339614.809683004, user press, u
1545339616.893304214, face tracking, off
1545339618.895947187, reeti turn to, 1
1545339618.895975349, 1, v
1545339620.948286764, user press, v
1545339622.603214416, face tracking, off
1545339624.606453004, reeti turn to, 1
1545339624.606490505, 1, u
1545339626.680850286, user press, u
1545339628.692824768, face tracking, off
1545339630.695493541, reeti turn to, 1
1545339630.695528618, 0, v
1545339632.673854137, user press, v
1545339634.435104224, face tracking, off
1545339636.438183523, reeti turn to, 0
1545339636.438223405, 1, v
1545339638.532970465, user press, v
1545339662.413586515, face tracking, on
1545339664.417313842, reeti turn to, 1
1545339664.417373724, 1, v
1545339666.662434465, user press, v
1545339668.327437068, face tracking, on
1545339670.329874829, reeti turn to, 1
1545339670.329902556, 0, v
1545339672.277182655, user press, v
1545339673.795890360, face tracking, on
1545339675.798194242, reeti turn to, 0
1545339675.798225729, 1, u
1545339677.770478980, user press, u
1545339679.609608615, face tracking, on
1545339681.611991863, reeti turn to, 0
1545339681.612018776, 0, u
1545339683.604989027, user press, u
1545339685.708903330, face tracking, on
1545339687.711827479, reeti turn to, 0
1545339687.711859090, 0, v
1545339689.725205218, user press, v
1545339691.482269840, face tracking, on
1545339693.484973940, reeti turn to, 1
1545339693.485014041, 0, v
1545339695.582935738, user press, v
1545339696.873904871, face tracking, on
1545339698.876530401, reeti turn to, 1
1545339698.876558431, 0, v
1545339700.919523944, user press, v
1545339702.554731509, face tracking, on
1545339704.557561572, reeti turn to, 1
1545339704.557591767, 1, v
1545339706.511553425, user press, v
1545339708.484910951, face tracking, on
1545339710.487789804, reeti turn to, 1
1545339710.487825244, 0, v
1545339712.564982537, user press, v
1545339736.479381211, face tracking, off
1545339738.482268073, reeti turn to, 1
1545339738.482302565, 1, v
1545339740.647328220, user press, v
1545339742.475885943, face tracking, off
1545339744.478471446, reeti turn to, 1
1545339744.478499839, 0, v
1545339746.535947497, user press, v
1545339748.562791179, face tracking, off
1545339750.565623495, reeti turn to, 1
1545339750.565663879, 1, u
1545339752.661566669, user press, u
1545339754.592588377, face tracking, off
1545339756.595115839, reeti turn to, 0
1545339756.595143981, 1, u
1545339758.676655516, user press, u
1545339760.333360750, face tracking, off
1545339762.335930993, reeti turn to, 1
1545339762.335959464, 1, v
1545339764.472062877, user press, v
1545339766.254475389, face tracking, off
1545339768.256965347, reeti turn to, 1
1545339768.257001411, 1, v
1545339770.164662700, user press, v
1545339772.098474279, face tracking, off
1545339774.101359720, reeti turn to, 1
1545339774.101388372, 1, v
1545339776.211228448, user press, v
1545339777.888011610, face tracking, off
1545339779.890783867, reeti turn to, 0
1545339779.890858130, 0, v
1545339781.921416509, user press, v
1545339783.781873444, face tracking, off
1545339785.784745047, reeti turn to, 1
1545339785.784807394, 0, u
1545339787.850886647, user press, u
1545339789.624819259, face tracking, off
1545339791.627530011, reeti turn to, 1
1545339791.627556494, 1, v
1545339793.616292345, user press, v
1545339816.043835161, face tracking, off
1545339818.046557532, reeti turn to, 1
1545339818.046595035, 1, v
1545339820.163839424, user press, v
1545339821.913463802, face tracking, off
1545339823.917407684, reeti turn to, 0
1545339823.917439959, 1, v
1545339825.958568823, user press, v
1545339827.726016070, face tracking, off
1545339829.728354096, reeti turn to, 1
1545339829.728389763, 0, v
1545339831.822184512, user press, v
1545339833.414058619, face tracking, off
1545339835.416665169, reeti turn to, 0
1545339835.416695167, 0, u
1545339837.533383362, user press, u
1545339839.249422453, face tracking, off
1545339841.252285052, reeti turn to, 0
1545339841.252323363, 0, v
1545339843.220899151, user press, v
1545339844.892850747, face tracking, off
1545339846.895849323, reeti turn to, 1
1545339846.895884279, 0, u
1545339848.914332931, user press, u
1545339850.201022503, face tracking, off
1545339852.203678794, reeti turn to, 1
1545339852.203706983, 1, u
1545339854.313792469, user press, u
1545339856.295851828, face tracking, off
1545339858.298447621, reeti turn to, 0
1545339858.298509344, 1, v
1545339860.344129956, user press, v
1545339861.981650461, face tracking, off
1545339863.984158988, reeti turn to, 1
1545339863.984193736, 0, u
1545339866.074547627, user press, u
1545339867.478888088, face tracking, off
1545339869.481646453, reeti turn to, 1
1545339869.481674663, 0, u
1545339871.494749844, user press, u
1545339895.834150393, face tracking, off
1545339897.836613539, reeti turn to, 0
1545339897.836643049, 1, v
1545339899.945138079, user press, v
1545339901.559985784, face tracking, off
1545339903.563541977, reeti turn to, 0
1545339903.563582961, 1, u
1545339905.659085184, user press, u
1545339907.181366649, face tracking, off
1545339909.184393730, reeti turn to, 1
1545339909.184424892, 1, u
1545339911.300714304, user press, u
1545339913.032119299, face tracking, off
1545339915.034592574, reeti turn to, 1
1545339915.034615960, 1, u
1545339917.033029401, user press, u
1545339918.282367275, face tracking, off
1545339920.284867350, reeti turn to, 0
1545339920.284900550, 1, u
1545339922.199743731, user press, u
1545339923.694067726, face tracking, off
1545339925.696969748, reeti turn to, 1
1545339925.697004937, 1, u
1545339927.655638644, user press, u
1545339929.114142130, face tracking, off
1545339931.116641225, reeti turn to, 1
1545339931.116675852, 1, u
1545339933.072081255, user press, u
1545339934.390929897, face tracking, off
1545339936.393621219, reeti turn to, 0
1545339936.393659481, 1, v
1545339938.503780962, user press, v
1545339939.839595908, face tracking, off
1545339941.842197922, reeti turn to, 0
1545339941.842224886, 0, v
1545339943.899431105, user press, v
1545339945.488971454, face tracking, off
1545339947.491847493, reeti turn to, 1
1545339947.491914484, 0, u
1545339949.532700705, user press, u
1545339982.600183231, face tracking, off
1545339984.609757859, reeti turn to, 0
1545339984.609799457, 0, v
1545339986.765230630, user press, v
1545339988.785201528, face tracking, off
1545339990.788350726, reeti turn to, 1
1545339990.788394973, 0, u
1545339992.748787806, user press, u
1545339994.215119608, face tracking, off
1545339996.219389750, reeti turn to, 0
1545339996.219421279, 1, u
1545339998.375848513, user press, u
1545339999.834486653, face tracking, off
1545340001.837034722, reeti turn to, 0
1545340001.837088623, 1, u
1545340003.959575472, user press, u
1545340005.560208424, face tracking, off
1545340007.562928633, reeti turn to, 1
1545340007.562961307, 1, v
1545340009.613507727, user press, v
1545340011.133857854, face tracking, off
1545340013.136556971, reeti turn to, 1
1545340013.136590283, 1, u
1545340015.163164309, user press, u
1545340016.589845258, face tracking, off
1545340018.592921719, reeti turn to, 0
1545340018.592958971, 0, v
1545340020.479747048, user press, v
1545340021.936169374, face tracking, off
1545340023.938934841, reeti turn to, 1
1545340023.938967876, 1, v
1545340025.929593354, user press, v
1545340027.236873996, face tracking, off
1545340029.240520604, reeti turn to, 0
1545340029.240573597, 1, u
1545340031.300321859, user press, u
1545340032.615158135, face tracking, off
1545340034.618323267, reeti turn to, 0
1545340034.618395273, 0, v
1545340036.738932719, user press, v
1545340056.182533358, face tracking, on
1545340058.185257909, reeti turn to, 1
1545340058.185286681, 1, u
1545340060.383348072, user press, u
1545340061.858953888, face tracking, on
1545340063.862261803, reeti turn to, 1
1545340063.862299604, 0, v
1545340065.945882338, user press, v
1545340067.490146780, face tracking, on
1545340069.493225899, reeti turn to, 1
1545340069.493278786, 1, v
1545340071.500934706, user press, v
1545340073.292653308, face tracking, on
1545340075.295196362, reeti turn to, 1
1545340075.295236351, 0, v
1545340077.372085497, user press, v
1545340078.741753403, face tracking, on
1545340080.744529622, reeti turn to, 1
1545340080.744567055, 0, v
1545340082.760192617, user press, v
1545340084.555501314, face tracking, on
1545340086.558185831, reeti turn to, 1
1545340086.558221090, 0, u
1545340088.558542386, user press, u
1545340090.215571787, face tracking, on
1545340092.217890019, reeti turn to, 0
1545340092.217912533, 0, v
1545340094.144521131, user press, v
1545340095.499846963, face tracking, on
1545340097.502375743, reeti turn to, 0
1545340097.502409803, 1, u
1545340099.642519479, user press, u
1545340101.029659200, face tracking, on
1545340103.032448959, reeti turn to, 0
1545340103.032474767, 0, v
1545340105.158030953, user press, v
1545340106.618777857, face tracking, on
1545340108.621335562, reeti turn to, 0
1545340108.621376742, 0, u
1545340110.694425877, user press, u
1545340122.344596077, face tracking, on
1545340124.346875512, reeti turn to, 1
1545340124.346932111, 0, v
1545340126.471137720, user press, v
1545340128.268553671, face tracking, on
1545340130.271746471, reeti turn to, 1
1545340130.271785472, 1, v
1545340132.254078808, user press, v
1545340133.960431695, face tracking, on
1545340135.963035655, reeti turn to, 0
1545340135.963064613, 0, u
1545340138.040895969, user press, u
1545340139.540924506, face tracking, on
1545340141.543591655, reeti turn to, 1
1545340141.543627256, 0, u
1545340143.639912101, user press, u
1545340145.214934430, face tracking, on
1545340147.217201417, reeti turn to, 1
1545340147.217233676, 1, u
1545340149.291960536, user press, u
1545340151.013578605, face tracking, on
1545340153.015839696, reeti turn to, 1
1545340153.015868037, 0, u
1545340155.097688865, user press, u
1545340156.535527359, face tracking, on
1545340158.538092855, reeti turn to, 1
1545340158.538116951, 0, v
1545340160.547598554, user press, v
1545340162.050880610, face tracking, on
1545340164.054115765, reeti turn to, 0
1545340164.054159538, 0, u
1545340166.049752271, user press, u
1545340167.634692789, face tracking, on
1545340169.636941021, reeti turn to, 0
1545340169.636969655, 1, v
1545340171.687779271, user press, v
1545340173.312267449, face tracking, on
1545340175.314993545, reeti turn to, 0
1545340175.315029661, 0, v
1545340177.210881529, user press, v


