1555004013.089822111, user pressed, u
1555004696.734119217, exp1 ok mode
1555004697.238448432, face tracking ,on,
1555004700.741564422, reeti turn to, 1
1555004701.241708217, rand_num=4
1555004701.333144196, show, v ,on, 1
1555004702.580657528, user pressed, v
1555004704.087719787, face tracking ,on,
1555004707.591725676, reeti turn to, 0
1555004708.091893535, rand_num=1
1555004708.180410568, show, u ,on, 0
1555004708.719235950, user pressed, u
1555004710.224531077, face tracking ,on,
1555004713.733847989, reeti turn to, 0
1555004714.234058827, rand_num=1
1555004714.330812632, show, u ,on, 0
1555004715.118721085, user pressed, u
1555004716.624778765, face tracking ,on,
1555004720.134048366, reeti turn to, 0
1555004720.634230453, rand_num=1
1555004720.730910764, show, u ,on, 0
1555004721.221139536, user pressed, u
1555004722.733844019, face tracking ,on,
1555004726.237832177, reeti turn to, 1
1555004726.738057453, rand_num=3
1555004726.831071311, show, u ,on, 1
1555004727.930774251, user pressed, u
1555004729.438794454, face tracking ,on,
1555004732.941830677, reeti turn to, 0
1555004733.441962469, rand_num=2
1555004733.530251368, show, v ,on, 0
1555004734.096487619, user pressed, v
1555004735.604160167, face tracking ,on,
1555004739.107001994, reeti turn to, 0
1555004739.607122516, rand_num=1
1555004739.680043850, show, u ,on, 0
1555004740.604084406, user pressed, u
1555004742.109574516, face tracking ,on,
1555004745.612247912, reeti turn to, 0
1555004746.112371121, rand_num=2
1555004746.181285487, show, v ,on, 0
1555004746.917531767, user pressed, v
1555004748.422738586, face tracking ,on,
1555004751.926295323, reeti turn to, 0
1555004752.426420482, rand_num=2
1555004752.479806921, show, v ,on, 0
1555004753.317642128, user pressed, v
1555004754.823211112, face tracking ,on,
1555004758.328508589, reeti turn to, 1
1555004758.828642303, rand_num=3
1555004758.930206337, show, u ,on, 1
1555004759.593417000, user pressed, u
1555004807.876263012, exp1 f mode
1555004808.376405626, face tracking ,off
1555004811.879333539, reeti turn to, 0
1555004812.379473612, rand_num=4
1555004812.480149193, show, v ,on, 1
1555004813.358710008, user pressed, v
1555004814.867356525, face tracking ,off
1555004818.370381395, reeti turn to, 0
1555004818.870509270, rand_num=2
1555004818.930754605, show, v ,on, 0
1555004819.664271165, user pressed, v
1555004821.168687218, face tracking ,off
1555004824.672046381, reeti turn to, 0
1555004825.172172609, rand_num=4
1555004825.230639001, show, v ,on, 1
1555004825.951171959, user pressed, v
1555004827.454108130, face tracking ,off
1555004830.957031710, reeti turn to, 1
1555004831.457150282, rand_num=3
1555004831.529787303, show, u ,on, 1
1555004832.211418201, user pressed, u
1555004833.714384322, face tracking ,off
1555004837.217257498, reeti turn to, 0
1555004837.717379361, rand_num=3
1555004837.780934191, show, u ,on, 1
1555004839.263600998, user pressed, u
1555004840.768375840, face tracking ,off
1555004844.271266882, reeti turn to, 1
1555004844.771357963, rand_num=4
1555004844.829802683, show, v ,on, 1
1555004845.430196632, user pressed, v
1555004846.935495477, face tracking ,off
1555004850.442302929, reeti turn to, 1
1555004850.942436750, rand_num=3
1555004851.029774556, show, u ,on, 1
1555004851.617912296, user pressed, u
1555004853.120687544, face tracking ,off
1555004856.623464560, reeti turn to, 0
1555004857.123593044, rand_num=1
1555004857.179978803, show, u ,on, 0
1555004857.857100253, user pressed, u
1555004859.363197019, face tracking ,off
1555004862.868123692, reeti turn to, 0
1555004863.368246868, rand_num=3
1555004863.430353216, show, u ,on, 1
1555004864.200161789, user pressed, u
1555004865.703146703, face tracking ,off
1555004869.206239260, reeti turn to, 1
1555004869.706325478, rand_num=4
1555004869.779871143, show, v ,on, 1
1555004870.625755310, user pressed, v
1555004903.270079773, exp1 d mode
1555004903.773118021, face tracking ,on,
1555004907.275874436, reeti turn to, 0
1555004907.775987307, rand_num=1
1555004907.830161200, show, u ,on, 0
1555004908.932533487, user pressed, u
1555004910.439923163, face tracking ,on,
1555004913.942647051, reeti turn to, 0
1555004914.442775803, rand_num=4
1555004914.530037033, show, v ,on, 1
1555004915.153080811, user pressed, v
1555004916.659178265, face tracking ,on,
1555004920.167286258, reeti turn to, 0
1555004920.667452856, rand_num=1
1555004920.730133451, show, u ,on, 0
1555004921.360639524, user pressed, u
1555004922.869932260, face tracking ,on,
1555004926.372639081, reeti turn to, 1
1555004926.872760369, rand_num=1
1555004926.930149917, show, u ,on, 0
1555004927.662865401, user pressed, u
1555004929.170679659, face tracking ,on,
1555004932.673848679, reeti turn to, 1
1555004933.173967126, rand_num=4
1555004933.229898379, show, v ,on, 1
1555004934.008788837, user pressed, v
1555004935.514531072, face tracking ,on,
1555004939.017373097, reeti turn to, 1
1555004939.517486871, rand_num=1
1555004939.580121539, show, u ,on, 0
1555004940.144177073, user pressed, u
1555004941.649913909, face tracking ,on,
1555004945.152414514, reeti turn to, 1
1555004945.652533990, rand_num=4
1555004945.730207568, show, v ,on, 1
1555004946.343845566, user pressed, v
1555004947.850113917, face tracking ,on,
1555004951.352633127, reeti turn to, 0
1555004951.852727171, rand_num=1
1555004951.930534910, show, u ,on, 0
1555004952.713588238, user pressed, u
1555004954.218728080, face tracking ,on,
1555004957.721465109, reeti turn to, 0
1555004958.221553727, rand_num=3
1555004958.280166029, show, u ,on, 1
1555004959.050321774, user pressed, u
1555004960.555162246, face tracking ,on,
1555004964.057762059, reeti turn to, 1
1555004964.557875534, rand_num=2
1555004964.630748135, show, v ,on, 0
1555004965.359043884, user pressed, v
1555004989.957107462, exp1 d mode
1555004990.464048988, face tracking ,on,
1555004993.968577689, reeti turn to, 0
1555004994.468697405, rand_num=2
1555004994.530510636, show, v ,on, 0
1555004995.259635468, user pressed, v
1555004996.769715149, face tracking ,on,
1555005000.272542404, reeti turn to, 0
1555005000.772665030, rand_num=2
1555005000.831102077, show, v ,on, 0
1555005001.766193360, user pressed, v
1555005003.271543069, face tracking ,on,
1555005006.774778119, reeti turn to, 0
1555005007.274899050, rand_num=1
1555005007.330792852, show, u ,on, 0
1555005008.034477909, user pressed, u
1555005009.541620268, face tracking ,on,
1555005013.044637939, reeti turn to, 0
1555005013.544778160, rand_num=1
1555005013.630974829, show, u ,on, 0
1555005014.588410049, user pressed, u
1555005016.101514381, face tracking ,on,
1555005019.604137687, reeti turn to, 1
1555005020.104258845, rand_num=3
1555005020.181877988, show, u ,on, 1
1555005020.792197755, user pressed, u
1555005022.303748894, face tracking ,on,
1555005025.806574323, reeti turn to, 0
1555005026.306692658, rand_num=2
1555005026.380611496, show, v ,on, 0
1555005027.171902036, user pressed, v
1555005028.677264355, face tracking ,on,
1555005032.181782426, reeti turn to, 0
1555005032.681950030, rand_num=1
1555005032.781281951, show, u ,on, 0
1555005033.456330172, user pressed, u
1555005034.968341988, face tracking ,on,
1555005038.470792227, reeti turn to, 0
1555005038.970909352, rand_num=2
1555005039.031906865, show, v ,on, 0
1555005039.683899871, user pressed, v
1555005041.191357352, face tracking ,on,
1555005044.701148734, reeti turn to, 0
1555005045.201219653, rand_num=3
1555005045.280250377, show, u ,on, 1
1555005046.300368328, user pressed, u
1555005047.806390225, face tracking ,on,
1555005051.309231465, reeti turn to, 0
1555005051.809356926, rand_num=1
1555005051.880799819, show, u ,on, 0
1555005052.455752388, user pressed, u
1555005080.422367186, exp1 f mode
1555005080.922495150, face tracking ,off
1555005084.425174452, reeti turn to, 0
1555005084.925334395, rand_num=3
1555005084.980149627, show, u ,on, 1
1555005086.342363547, user pressed, v
1555005087.845722392, face tracking ,off
1555005091.348875036, reeti turn to, 1
1555005091.849001615, rand_num=1
1555005091.929808611, show, u ,on, 0
1555005092.880323695, user pressed, u
1555005094.383716906, face tracking ,off
1555005097.887396024, reeti turn to, 1
1555005098.387626838, rand_num=4
1555005098.479885337, show, v ,on, 1
1555005099.260370026, user pressed, v
1555005100.767942316, face tracking ,off
1555005104.271231162, reeti turn to, 0
1555005104.771358995, rand_num=3
1555005104.830699407, show, u ,on, 1
1555005105.717603947, user pressed, u
1555005107.220284409, face tracking ,off
1555005110.722972459, reeti turn to, 0
1555005111.223099255, rand_num=1
1555005111.279986807, show, u ,on, 0
1555005111.793233119, user pressed, u
1555005113.301953923, face tracking ,off
1555005116.804781293, reeti turn to, 0
1555005117.304928446, rand_num=2
1555005117.379930699, show, v ,on, 0
1555005117.999632603, user pressed, v
1555005119.502074872, face tracking ,off
1555005123.004927103, reeti turn to, 1
1555005123.505049928, rand_num=4
1555005123.579841120, show, v ,on, 1
1555005124.311754736, user pressed, v
1555005125.814467621, face tracking ,off
1555005129.317247014, reeti turn to, 1
1555005129.817371485, rand_num=2
1555005129.880161507, show, v ,on, 0
1555005130.577586507, user pressed, v
1555005132.080584515, face tracking ,off
1555005135.584409977, reeti turn to, 0
1555005136.084645632, rand_num=3
1555005136.179773919, show, u ,on, 1
1555005137.062514641, user pressed, u
1555005138.569236190, face tracking ,off
1555005142.072613884, reeti turn to, 0
1555005142.572801080, rand_num=1
1555005142.629815178, show, u ,on, 0
1555005143.266587409, user pressed, u
